iteration,Fast (a=0.90),Medium (a=0.95),Slow (a=0.98),VerySlow (a=0.99 T0=20)
0,7.5309,7.5309,7.5309,7.5309
100,7.5309,7.5309,7.5309,7.5309
200,7.5309,7.5309,7.5309,7.5309
300,7.5309,7.5309,7.5309,7.5309
400,7.5309,7.5309,7.5309,7.5309
500,7.5309,7.5309,7.5309,7.5309
600,7.5309,7.5309,7.5309,7.5309
700,7.5309,7.5309,7.5309,7.5309
800,7.5309,7.5309,7.5309,7.5309
900,7.5309,7.5309,7.5309,7.5309
1000,7.5309,7.5309,7.5309,7.5309
1100,7.5309,7.5309,7.5309,7.5309
1200,7.5309,7.5309,7.5309,7.5309
1300,7.5309,7.5309,7.5309,7.5309
1400,7.5309,7.5309,7.5309,7.5309
1500,7.5309,7.5309,7.5309,7.5309
1600,7.5309,7.5309,7.5309,7.5309
1700,7.5309,7.5309,7.5309,7.5309
1800,7.5309,7.5309,7.5309,7.5309
1900,7.5309,7.5309,7.5309,7.5309
2000,7.5309,7.5309,7.5309,7.5309
2100,7.5309,7.5309,7.5309,7.5309
2200,7.5309,7.5309,7.5309,7.5309
2300,7.5309,7.5309,7.5309,7.5309
2400,7.5309,7.5309,7.5309,7.5309
2500,7.5309,7.5309,7.5309,7.5309
2600,7.5309,7.5309,7.5309,7.5309
2700,7.5309,7.5309,7.5309,7.5309
2800,7.5309,7.5309,7.5309,7.5309
2900,7.5309,7.5309,7.5309,7.5309
3000,7.5309,7.5309,7.5309,7.5309
3100,7.5309,7.5309,7.5309,7.5309
3200,7.5309,7.5309,7.5309,7.5309
3300,7.5309,7.5309,7.5309,7.5309
3400,7.5309,7.5309,7.5309,7.5309
3500,7.5309,7.5309,7.5309,7.5309
3600,7.5309,7.5309,7.5309,7.5309
3700,7.5309,7.5309,7.5309,7.5309
3800,7.5309,7.5309,7.5309,7.5309
3900,7.5309,7.5309,7.5309,7.5309
4000,7.5309,7.5309,7.5309,7.5309
4100,7.5309,7.5309,7.5309,7.5309
4200,7.5309,7.5309,7.5309,7.5309
4300,7.5309,7.5309,7.5309,7.5309
4400,7.5309,7.5309,7.5309,7.5309
4500,7.5309,7.5309,7.5309,7.5309
4600,7.5309,7.5309,7.5309,7.5309
4700,7.5309,7.5309,7.5309,7.5309
4800,7.5309,7.5309,7.5309,7.5309
4900,7.5309,7.5309,7.5309,7.5309
5000,7.5309,7.5309,7.5309,7.5309
5100,7.5309,7.5309,7.5309,7.5309
5200,7.5309,7.5309,7.5309,7.5309
5300,7.5309,7.5309,7.5309,7.5309
5400,7.5309,7.5309,7.5309,7.5309
5500,7.5309,7.5309,7.5309,7.5309
5600,7.5309,7.5309,7.5309,7.5309
5700,7.5309,7.5309,7.5309,7.5309
5800,7.5309,7.5309,7.5309,7.5309
5900,7.5309,7.5309,7.5309,7.5309
6000,7.5309,7.5309,7.5309,7.5309
6100,7.5309,7.5309,7.5309,7.5309
6200,7.5309,7.5309,7.5309,7.5309
6300,7.5309,7.5309,7.5309,7.5309
6400,7.5309,7.5309,7.5309,7.5309
6500,7.5309,7.5309,7.5309,7.5309
6600,7.5309,7.5309,7.5309,7.5309
6700,7.5309,7.5309,7.5309,7.5309
6800,7.5309,7.5309,7.5309,7.5309
6900,7.5309,7.5309,7.5309,7.5309
7000,7.5309,7.5309,7.5309,7.5309
7100,7.5309,7.5309,7.5309,7.5309
7200,7.5309,7.5309,7.5309,7.5309
7300,7.5309,7.5309,7.5309,7.5309
7400,7.5309,7.5309,7.5309,7.5309
7500,7.5309,7.5309,7.5309,7.5309
7600,7.5309,7.5309,7.5309,7.5309
7700,7.5309,7.5309,7.5309,7.5309
7800,7.5309,7.5309,7.5309,7.5309
7900,7.5309,7.5309,7.5309,7.5309
8000,7.5309,7.5309,7.5309,7.5309
8100,7.5309,7.5309,7.5309,7.5309
8200,7.5309,7.5309,7.5309,7.5309
8300,7.5309,7.5309,7.5309,7.5309
8400,7.5309,7.5309,7.5309,7.5309
8500,7.5309,7.5309,7.5309,7.5309
8600,7.5309,7.5309,7.5309,7.5309
8700,7.5309,7.5309,7.5309,7.5309
8800,7.5309,7.5309,7.5309,7.5309
8900,7.5309,7.5309,7.5309,7.5309
9000,7.5309,7.5309,7.5309,7.5309
9100,7.5309,7.5309,7.5309,7.5309
9200,7.5309,7.5309,7.5309,7.5309
9300,7.5309,7.5309,7.5309,7.5309
9400,7.5309,7.5309,7.5309,7.5309
9500,7.5309,7.5309,7.5309,7.5309
9600,7.5309,7.5309,7.5309,7.5309
9700,7.5309,7.5309,7.5309,7.5309
9800,7.5309,7.5309,7.5309,7.5309
9900,7.5309,7.5309,7.5309,7.5309
10000,7.5309,7.5309,7.5309,7.5309
10100,7.5309,7.5309,7.5309,7.5309
10200,7.5309,7.5309,7.5309,7.5309
10300,7.5309,7.5309,7.5309,7.5309
10400,7.5309,7.5309,7.5309,7.5309
10500,7.5309,7.5309,7.5309,7.5309
10600,7.5309,7.5309,7.5309,7.5309
10700,7.5309,7.5309,7.5309,7.5309
10800,7.5309,7.5309,7.5309,7.5309
10900,7.5309,7.5309,7.5309,7.5309
11000,7.5309,7.5309,7.5309,7.5309
11100,7.4910,7.5309,7.5309,7.5309
11200,7.2718,7.5309,7.5309,7.5309
11300,7.2718,7.5309,7.5309,7.5309
11400,7.2718,7.5309,7.5309,7.5309
11500,7.2718,7.5309,7.5309,7.5309
11600,7.2718,7.5309,7.5309,7.5309
11700,7.2718,7.5309,7.5309,7.5309
11800,7.2070,7.5309,7.5309,7.5309
11900,7.0433,7.5309,7.5309,7.5309
12000,6.8408,7.5309,7.5309,7.5309
12100,6.7938,7.5309,7.5309,7.5309
12200,6.7938,7.5309,7.5309,7.5309
12300,6.7938,7.5309,7.5309,7.5309
12400,6.7938,7.5309,7.5309,7.5309
12500,6.7938,7.5309,7.5309,7.5309
