N,iteration,residual
32,0,3.87298
32,1,3.62284
32,2,3.37268
32,3,3.1225
32,4,2.87228
32,5,2.62202
32,6,2.37171
32,7,2.12132
32,8,1.87083
32,9,1.62019
32,10,1.36931
32,11,1.11803
32,12,0.866025
32,13,0.612372
32,14,0.353553
32,15,0
64,0,5.56776
64,1,5.39096
64,2,5.21416
64,3,5.03736
64,4,4.86056
64,5,4.68375
64,6,4.50694
64,7,4.33013
64,8,4.15331
64,9,3.97649
64,10,3.79967
64,11,3.62284
64,12,3.44601
64,13,3.26917
64,14,3.09233
64,15,2.91548
64,16,2.73861
64,17,2.56174
64,18,2.38485
64,19,2.20794
64,20,2.03101
64,21,1.85405
64,22,1.67705
64,23,1.5
64,24,1.32288
64,25,1.14564
64,26,0.968246
64,27,0.790569
64,28,0.612372
64,29,0.433013
64,30,0.25
64,31,0
128,0,7.93725
128,1,7.81225
128,2,7.68725
128,3,7.56224
128,4,7.43724
128,5,7.31223
128,6,7.18723
128,7,7.06222
128,8,6.93722
128,9,6.81221
128,10,6.68721
128,11,6.5622
128,12,6.4372
128,13,6.31219
128,14,6.18718
128,15,6.06218
128,16,5.93717
128,17,5.81216
128,18,5.68716
128,19,5.56215
128,20,5.43714
128,21,5.31213
128,22,5.18712
128,23,5.06211
128,24,4.9371
128,25,4.81209
128,26,4.68708
128,27,4.56207
128,28,4.43706
128,29,4.31205
128,30,4.18703
128,31,4.06202
128,32,3.937
128,33,3.81199
128,34,3.68697
128,35,3.56195
128,36,3.43693
128,37,3.31191
128,38,3.18689
128,39,3.06186
128,40,2.93684
128,41,2.81181
128,42,2.68677
128,43,2.56174
128,44,2.4367
128,45,2.31166
128,46,2.18661
128,47,2.06155
128,48,1.93649
128,49,1.81142
128,50,1.68634
128,51,1.56125
128,52,1.43614
128,53,1.31101
128,54,1.18585
128,55,1.06066
128,56,0.935414
128,57,0.810093
128,58,0.684653
128,59,0.559017
128,60,0.433013
128,61,0.306186
128,62,0.176777
128,63,0
256,0,11.2694
256,1,11.181
256,2,11.0926
256,3,11.0043
256,4,10.9159
256,5,10.8275
256,6,10.7391
256,7,10.6507
256,8,10.5623
256,9,10.4739
256,10,10.3855
256,11,10.2971
256,12,10.2088
256,13,10.1204
256,14,10.032
256,15,9.94359
256,16,9.8552
256,17,9.76681
256,18,9.67842
256,19,9.59003
256,20,9.50164
256,21,9.41326
256,22,9.32487
256,23,9.23648
256,24,9.14809
256,25,9.0597
256,26,8.97131
256,27,8.88292
256,28,8.79453
256,29,8.70614
256,30,8.61775
256,31,8.52936
256,32,8.44097
256,33,8.35258
256,34,8.26419
256,35,8.1758
256,36,8.08741
256,37,7.99902
256,38,7.91063
256,39,7.82224
256,40,7.73385
256,41,7.64546
256,42,7.55707
256,43,7.46868
256,44,7.38029
256,45,7.2919
256,46,7.20351
256,47,7.11512
256,48,7.02673
256,49,6.93834
256,50,6.84995
256,51,6.76156
256,52,6.67317
256,53,6.58478
256,54,6.49639
256,55,6.408
256,56,6.31961
256,57,6.23122
256,58,6.14283
256,59,6.05444
256,60,5.96605
256,61,5.87766
256,62,5.78927
256,63,5.70088
256,64,5.61249
256,65,5.52409
256,66,5.4357
256,67,5.34731
256,68,5.25892
256,69,5.17053
256,70,5.08214
256,71,4.99375
256,72,4.90535
256,73,4.81696
256,74,4.72857
256,75,4.64018
256,76,4.55179
256,77,4.46339
256,78,4.375
256,79,4.28661
256,80,4.19821
256,81,4.10982
256,82,4.02143
256,83,3.93303
256,84,3.84464
256,85,3.75624
256,86,3.66785
256,87,3.57946
256,88,3.49106
256,89,3.40266
256,90,3.31427
256,91,3.22587
256,92,3.13748
256,93,3.04908
256,94,2.96068
256,95,2.87228
256,96,2.78388
256,97,2.69548
256,98,2.60708
256,99,2.51868
256,100,2.43028
256,101,2.34187
256,102,2.25347
256,103,2.16506
256,104,2.07666
256,105,1.98825
256,106,1.89984
256,107,1.81142
256,108,1.72301
256,109,1.63459
256,110,1.54616
256,111,1.45774
256,112,1.36931
256,113,1.28087
256,114,1.19242
256,115,1.10397
256,116,1.0155
256,117,0.927025
256,118,0.838525
256,119,0.75
256,120,0.661438
256,121,0.572822
256,122,0.484123
256,123,0.395285
256,124,0.306186
256,125,0.216506
256,126,0.125
256,127,0
